player,birthplace
Armon Johnson,"Chicago, Illinois"
Nemanja Bjelica,"Belgrade, SR Serbia, SFR Yugoslavia"
Terrico White,"Memphis, Tennessee"
Darington Hobson,"Las Vegas, Nevada"
Andy Rautins,"Syracuse, New York"
Landry Fields,"Long Beach, California"
Lance Stephenson,"Brooklyn, New York"
Jarvis Varnado,"Fairfax, Virginia"
Da'Sean Butler,"Newark, New Jersey"
Devin Ebanks,"Queens, New York"
Jerome Jordan,"Kingston, Jamaica"
Paulão Prestes,"Monte Aprazível, São Paulo"
Gani Lawal,"College Park, Georgia"
Tiny Gallon,"Vallejo, California"
Latavious Williams,"Starkville, Mississippi"
Ryan Richards,"Chatham, Kent, England"
Solomon Alabi,"Kaduna, Nigeria"
Magnum Rolle,"Freeport, Bahamas"
Luke Harangody,"Decatur, Illinois"
Pape Sy,"Loudéac, France"
Willie Warren,"Dallas, Texas"
Jeremy Evans,"Monroe, Louisiana"
Hamady N'Diaye,"Dakar, Senegal"
Ryan Reid,"Lauderdale Lakes, Florida"
Derrick Caracter,"Fanwood, New Jersey"
Stanley Robinson,"Birmingham, Alabama"
Dwayne Collins,"Miami, Florida"
Kyrie Irving,"Melbourne, Victoria"
Derrick Williams,"La Mirada, California"
Enes Kanter,"Zürich, Switzerland"
Tristan Thompson,"Toronto, Ontario"
Jonas Valančiūnas,"Utena, Lithuania"
Jan Veselý,"Ostrava, Czechoslovakia"
Bismack Biyombo,"Lubumbashi, DR Congo"
Brandon Knight,"Miami, Florida"
Kemba Walker,"Bronx, New York"
Jimmer Fredette,"Glens Falls, New York"
Klay Thompson,"Los Angeles, California"
Alec Burks,"Grandview, Missouri"
Markieff Morris,"Philadelphia, Pennsylvania"
Marcus Morris,"Philadelphia, Pennsylvania"
Kawhi Leonard,"Los Angeles, California"
Nikola Vučević,"Morges, Switzerland"
Iman Shumpert,"Oak Park, Illinois"
Chris Singleton,"Canton, Georgia"
Tobias Harris,"Islip, New York"
Donatas Motiejūnas,"Kaunas, Lithuania"
Nolan Smith,"Louisville, Kentucky"
Kenneth Faried,"Newark, New Jersey"
Nikola Mirotić,"Titograd, SR Montenegro,
SFR Yugoslavia"
Reggie Jackson,"Wyncote, Pennsylvania"
MarShon Brooks,"Long Branch, New Jersey"
Jordan Hamilton,"Los Angeles, California"
JaJuan Johnson,"Indianapolis, Indiana"
Norris Cole,"Dayton, Ohio"
Cory Joseph,"Toronto, Ontario"
Jimmy Butler,"Houston, Texas"
Bojan Bogdanović,"Mostar, SR Bosnia and Herzegovina, SFR Yugoslavia"
Justin Harper,"Richmond, Virginia"
Kyle Singler,"Medford, Oregon"
Shelvin Mack,"Lexington, Kentucky"
Tyler Honeycutt,"Sylmar, California"
Jordan Williams,"Torrington, Connecticut"
Trey Thompkins,"Long Island, New York"
Chandler Parsons,"Casselberry, Florida"
Jeremy Tyler,"San Diego, California"
Jon Leuer,"Long Lake, Minnesota"
Darius Morris,"Los Angeles, California"
Dāvis Bertāns,"Valmiera, Latvia"
Malcolm Lee,"Riverside, California"
Charles Jenkins,"Brooklyn, New York"
Josh Harrellson,"St. Charles, Missouri"
Andrew Goudelock,"Stone Mountain, Georgia"
Travis Leslie,"Atlanta, Georgia"
Keith Benson,"Cleveland, Ohio"
Josh Selby,"Baltimore, Maryland"
Lavoy Allen,"Trenton, New Jersey"
Jon Diebler,"Sylvania, Ohio"
Vernon Macklin,"Portsmouth, Virginia"
DeAndre Liggins,"Chicago, Illinois"
Milan MaÄvan,"Vukovar, SR Croatia, SFR Yugoslavia"
E'Twaun Moore,"East Chicago, Indiana"
Chukwudiebere Maduabum,"Lagos, Nigeria"
Tanguy Ngombo,"Brazzaville, Congo"
Ater Majok,"Khartoum, Sudan"
Ádám Hanga,"Budapest, Hungary"
Isaiah Thomas,"Tacoma, Washington"
Anthony Davis,"Chicago, Illinois"
Michael Kidd-Gilchrist,"Philadelphia, Pennsylvania"
Bradley Beal,"St. Louis, Missouri"
Dion Waiters,"Philadelphia, Pennsylvania"
Thomas Robinson,"Washington, D.C."
Damian Lillard,"Oakland, California"
Harrison Barnes,"Ames, Iowa"
Terrence Ross,"Portland, Oregon"
Andre Drummond,"Mount Vernon, New York"
Austin Rivers,"Santa Monica, California"
Meyers Leonard,"Woodbridge, Virginia"
Jeremy Lamb,"Henrico, Virginia"
Kendall Marshall,"Dumfries, Virginia"
John Henson,"Greensboro, North Carolina"
Maurice Harkless,"New York City, New York"
Royce White,"Minneapolis, Minnesota"
Tyler Zeller,"Visalia, California"
Terrence Jones,"Portland, Oregon"
Andrew Nicholson,"Mississauga, Ontario"
Evan Fournier,"Saint-Maurice, France"
Jared Sullinger,"Columbus, Ohio"
Fab Melo,"Juiz de Fora, Minas Gerais, Brazil"
John Jenkins,"Hendersonville, Tennessee"
Jared Cunningham,"Oakland, California"
Tony Wroten,"Renton, Washington"
Miles Plumlee,"Fort Wayne, Indiana"
Arnett Moultrie,"Queens, New York"
Perry Jones III,"Winnsboro, Louisiana"
Marquis Teague,"Indianapolis, Indiana"
Festus Ezeli,"Benin City, Nigeria"
Jeffery Taylor,"Norrköping, Sweden"
Tomáš Satoranský,"Prague, Czechoslovakia"
Bernard James,"Savannah, Georgia"
Jae Crowder,"Villa Rica, Georgia"
Draymond Green,"Saginaw, Michigan"
Orlando Johnson,"Monterey, California"
Quincy Acy,"Tyler, Texas"
Quincy Miller,"Chicago, Illinois"
Khris Middleton,"Charleston, South Carolina"
Will Barton,"Baltimore, Maryland"
Tyshawn Taylor,"Hoboken, New Jersey"
Doron Lamb,"New York City, New York"
Mike Scott,"Chesapeake, Virginia"
Kim English,"Baltimore, Maryland"
Justin Hamilton,"Newport Beach, California"
Darius Miller,"Maysville, Kentucky"
Kevin Murphy,"Atlanta, Georgia"
Kostas Papanikolaou,"Trikala, Greece"
Kyle O'Quinn,"Jamaica, New York"
İzzet Türkyılmaz,"Ayvalık, Balıkesir, Turkey"
Kris Joseph,"Montreal, Quebec"
Ognjen Kuzmić,"Doboj, SR Bosnia and Herzegovina
SFR Yugoslavia"
Furkan Aldemir,"Konak, Izmir, Turkey"
Tornike Shengelia,"Tbilisi, Georgia"
Darius Johnson-Odom,"Raleigh, North Carolina"
Tomislav Zubčić,"Zadar, SR Croatia, SFR Yugoslavia"
İlkan Karaman,"İstanbul, Turkey"
Robbie Hummel,"Valparaiso, Indiana"
Marcus Denmon,"Kansas City, Missouri"
Robert Sacre,"Baton Rouge, Louisiana"
Anthony Bennett,"Toronto, Ontario"
Victor Oladipo,"Silver Spring, Maryland"
Otto Porter,"St. Louis, Missouri"
Cody Zeller,"Washington, Indiana"
Alex Len,"Antratsyt, Ukraine"
Nerlens Noel,"Malden, Massachusetts"
Ben McLemore,"St. Louis, Missouri"
Kentavious Caldwell-Pope,"Thomaston, Georgia"
Trey Burke,"Columbus, Ohio"
C. J. McCollum,"Canton, Ohio"
Michael Carter-Williams,"Hamilton, Massachusetts"
Steven Adams,"Rotorua, New Zealand"
Kelly Olynyk,"Toronto, Ontario"
Shabazz Muhammad,"Long Beach, California"
Giannis Antetokounmpo,"Athens, Greece"
Lucas Nogueira,"São Gonçalo, Brazil"
Dennis Schröder,"Braunschweig, Germany"
Shane Larkin,"Cincinnati, Ohio"
Sergey Karasev,"Saint Petersburg, Russia"
Tony Snell,"Watts, California"
Gorgui Dieng,"Kébémer, Senegal"
Mason Plumlee,"Fort Wayne, Indiana"
Solomon Hill,"Harvey, Illinois"
Tim Hardaway Jr.,"Alameda, California"
Reggie Bullock,"Baltimore, Maryland"
André Roberson,"Las Cruces, New Mexico"
Rudy Gobert,"Saint-Quentin, France"
Livio Jean-Charles,"Cayenne, French Guiana"
Archie Goodwin,"Little Rock, Arkansas"
Nemanja Nedović,"Nova Varoš, SR Serbia,
SFR Yugoslavia"
Allen Crabbe,"Los Angeles, California"
Ãlex Abrines,"Palma, Spain"
Carrick Felix,"Las Vegas, Nevada"
Isaiah Canaan,"Biloxi, Mississippi"
Glen Rice Jr.,"Miami, Florida"
Ray McCallum Jr.,"Madison, Wisconsin"
Tony Mitchell,"Milwaukee, Wisconsin"
Nate Wolters,"St. Cloud, Minnesota"
Jeff Withey,"San Diego, California"
Grant Jerrett,"Costa Mesa, California"
Jamaal Franklin,"Moreno Valley, California"
Pierre Jackson,"Las Vegas, Nevada"
Ricky Ledo,"Providence, Rhode Island"
Mike Muscala,"St. Louis Park, Minnesota"
Marko Todorović ,"Podgorica, SR Montenegro,
SFR Yugoslavia"
Erick Green,"Inglewood, California"
Raul Neto,"Belo Horizonte, Brazil"
Ryan Kelly,"Carmel, New York"
Erik Murphy,"Lyon, France"
James Ennis,"Ventura, California"
Romero Osby,"Frankfurt, Germany"
Lorenzo Brown,"Roswell, Georgia"
Colton Iverson,"Aberdeen, South Dakota"
Arsalan Kazemi,"Isfahan, Iran"
Joffrey Lauvergne,"Mulhouse, France"
Peyton Siva,"Seattle, Washington"
Alex Oriakhi,"Lowell, Massachusetts"
Deshaun Thomas,"Fort Wayne, Indiana"
Bojan Dubljević,"Nikšić, SR Montenegro,
SFR Yugoslavia"
Jānis Timma,"Krāslava, Latvia"
Andrew Wiggins,"Toronto, Ontario"
Jabari Parker,"Chicago, Illinois"
Joel Embiid,"Yaoundé, Cameroon"
Aaron Gordon,"San Jose, California"
Dante Exum,"Melbourne, Victoria"
Marcus Smart,"Flower Mound, Texas"
Julius Randle,"Dallas, Texas"
Nik Stauskas,"Mississauga, Ontario"
Noah Vonleh,"Haverhill, Massachusetts"
Elfrid Payton,"Gretna, Virginia"
Doug McDermott,"Grand Forks, North Dakota"
Dario Šarić,"Šibenik, Croatia"
Zach LaVine,"Renton, Washington"
T. J. Warren,"Durham, North Carolina"
Adreian Payne,"Dayton, Ohio"
Jusuf Nurkić,"Tuzla, Bosnia and Herzegovina"
James Young,"Flint, Michigan"
Tyler Ennis,"Brampton, Ontario"
Gary Harris,"Fishers, Indiana"
Bruno Caboclo,"Osasco, Brazil"
Mitch McGary,"Chesterton, Indiana"
Jordan Adams,"Atlanta, Georgia"
Rodney Hood,"Meridian, Mississippi"
Shabazz Napier,"Roxbury, Massachusetts"
Clint Capela,"Geneva, Switzerland"
P. J. Hairston,"Greensboro, North Carolina"
Bogdan Bogdanović ,"Belgrade, Serbia, FR Yugoslavia"
C. J. Wilcox,"Pleasant Grove, Utah"
Josh Huestis,"Webster, Texas"
Kyle Anderson,"New York City, New York"
Damien Inglis,"Cayenne, French Guiana"
K. J. McDaniels,"Birmingham, Alabama"
Joe Harris,"Chelan, Washington"
Cleanthony Early,"The Bronx, New York"
Jarnell Stokes,"Memphis, Tennessee"
Johnny O'Bryant III,"Cleveland, Mississippi"
DeAndre Daniels,"Woodland Hills, California"
Spencer Dinwiddie,"Los Angeles, California"
Jerami Grant,"Portland, Oregon"
Glenn Robinson III,"Gary, Indiana"
Nikola Jokić,"Sombor, Serbia, FR Yugoslavia"
Nick Johnson,"Tempe, Arizona"
Walter Tavares,"Maio, Cape Verde"
Markel Brown,"Alexandria, Louisiana"
Dwight Powell,"Toronto, Ontario"
Jordan Clarkson,"Tampa, Florida"
Russ Smith,"New York City, New York"
Lamar Patterson,"Lancaster, Pennsylvania"
Cameron Bairstow,"Brisbane, Queensland"
Alec Brown,"Winona, Minnesota"
Thanasis Antetokounmpo,"Athens, Greece"
Vasilije Micić,"Kraljevo, Serbia, FR Yugoslavia"
Alessandro Gentile,"Maddaloni, Italy"
Nemanja Dangubić,"Pančevo, Serbia, FR Yugoslavia"
Semaj Christon,"Cincinnati, Ohio"
Devyn Marble,"Southfield, Michigan"
Louis Labeyrie,"Gonesse, France"
Jordan McRae,"Savannah, Georgia"
Xavier Thames,"Sacramento, California"
Cory Jefferson,"Tacoma, Washington"
Karl-Anthony Towns,"Edison, New Jersey"
D'Angelo Russell,"Louisville, Kentucky"
Jahlil Okafor,"Fort Smith, Arkansas"
Kristaps Porziņģis,"Liepāja, Latvia"
Mario Hezonja,"Dubrovnik, Croatia"
Willie Cauley-Stein,"Spearville, Kansas"
Emmanuel Mudiay,"Kinshasa, Zaire"
Stanley Johnson,"Anaheim, California"
Frank Kaminsky,"Winfield, Illinois"
Justise Winslow,"Houston, Texas"
Myles Turner,"Bedford, Texas"
Trey Lyles,"Saskatoon, Saskatchewan"
Devin Booker,"Grand Rapids, Michigan"
Cameron Payne,"Memphis, Tennessee"
Kelly Oubre Jr.,"New Orleans, Louisiana"
Terry Rozier,"Youngstown, Ohio"
Rashad Vaughn,"Minneapolis, Minnesota"
Sam Dekker,"Sheboygan, Wisconsin"
Jerian Grant,"Silver Spring, Maryland"
Delon Wright,"Los Angeles, California"
Justin Anderson,"Montross, Virginia"
Bobby Portis,"Little Rock, Arkansas"
Rondae Hollis-Jefferson,"Chester, Pennsylvania"
Tyus Jones,"Burnsville, Minnesota"
Jarell Martin,"Baton Rouge, Louisiana"
Nikola Milutinov,"Novi Sad, FR Yugoslavia"
Larry Nance Jr.,"Akron, Ohio"
R. J. Hunter,"Oxford, Ohio"
Chris McCullough,"The Bronx, New York"
Kevon Looney,"Milwaukee, Wisconsin"
Cedi Osman,"Ohrid, Republic of Macedonia"
Montrezl Harrell,"Tarboro, North Carolina"
Jordan Mickey,"Dallas, Texas"
Anthony Brown,"Bellflower, California"
Willy Hernangómez,"Madrid, Spain"
Rakeem Christmas,"Irvington, New Jersey"
Richaun Holmes,"Lockport, Illinois"
Darrun Hilliard,"Bethlehem, Pennsylvania"
Juan Pablo Vaulet,"CÃ³rdoba, Argentina"
Josh Richardson,"Edmond, Oklahoma"
Pat Connaughton,"Arlington, Massachusetts"
Olivier Hanlan,"Aylmer, Quebec"
Joseph Young,"Houston, Texas"
Andrew Harrison,"San Antonio, Texas"
Marcus Thornton,"Forestville, Maryland"
Norman Powell,"San Diego, California"
Artūras Gudaitis,"Klaipėda, Lithuania"
Dakari Johnson,"Brooklyn, New York"
Aaron White,"Strongsville, Ohio"
Marcus Eriksson,"Uppsala, Sweden"
Tyler Harvey,"Torrance, California"
Satnam Singh Bhamara,"Baloke, Punjab, India"
Sir'Dominic Pointer,"Detroit, Michigan"
Dani Díez,"Madrid, Spain"
Cady Lalanne,"Port-au-Prince, Haiti"
Branden Dawson,"Gary, Indiana"
Nikola Radičević,"Novi Sad, Serbia, FR Yugoslavia"
J. P. Tokoto,"Rockford, Illinois"
Dimitrios Agravanis,"Marousi, Greece"
Luka Mitrović,"Novi Sad, Serbia, FR Yugoslavia"
Ben Simmons,"Melbourne, Victoria"
Brandon Ingram,"Kinston, North Carolina"
Jaylen Brown,"Marietta, Georgia"
Dragan Bender,"Čapljina, Bosnia and Herzegovina"
Kris Dunn,"New London, Connecticut"
Buddy Hield,"Freeport, Bahamas"
Jamal Murray,"Kitchener, Ontario"
Marquese Chriss,"Sacramento, California"
Jakob Pöltl ,"Vienna, Austria"
Thon Maker,"Wau, Sudan(now South Sudan)"
Domantas Sabonis,"Portland, Oregon"
Taurean Prince,"San Marcos, Texas"
Georgios Papagiannis,"Marousi, Greece"
Denzel Valentine,"Lansing, Michigan"
Juan Hernangómez,"Madrid, Spain"
Guerschon Yabusele,"Dreux, France"
Wade Baldwin,"Belle Mead, New Jersey"
Henry Ellenson,"Rice Lake, Wisconsin"
Malik Beasley,"Atlanta, Georgia"
Caris LeVert,"Columbus, Ohio"
DeAndre' Bembry,"Charlotte, North Carolina"
Malachi Richardson,"Trenton, New Jersey"
Ante Žižić,"Split, Croatia"
Timothé Luwawu-Cabarrot,"Cannes, France"
Brice Johnson,"Orangeburg, South Carolina"
Furkan Korkmaz,"Bakırköy, Istanbul, Turkey"
Pascal Siakam,"Douala, Cameroon"
Skal Labissière,"Port-au-Prince, Haiti"
Dejounte Murray,"Seattle, Washington"
Damian Jones,"London, England"
Deyonta Davis,"Muskegon, Michigan"
Ivica Zubac,"Mostar, Bosnia and Herzegovina"
Cheick Diallo,"Kayes, Mali"
Tyler Ulis,"Southfield, Michigan"
Rade Zagorac,"Belgrade, Serbia, FR Yugoslavia"
Malcolm Brogdon,"Atlanta, Georgia"
Chinanu Onuaku,"Lanham, Maryland"
Patrick McCaw,"St. Louis, Missouri"
David Michineau,"Les Abymes, Guadeloupe"
Diamond Stone,"Milwaukee, Wisconsin"
Stephen Zimmerman,"Hendersonville, Tennessee"
Isaiah Whitehead,"Brooklyn, New York"
Zhou Qi,"Xinxiang, Henan, China"
Isaia Cordinier,"Creteil, Ile-de-France"
Demetrius Jackson,"South Bend, Indiana"
A. J. Hammons,"Gary, Indiana"
Jake Layman,"Wrentham, Massachusetts"
Paul Zipser,"Heidelberg, Germany"
Michael Gbinije,"Hartford, Connecticut"
Georges Niang,"Lawrence, Massachusetts"
Ben Bentil,"Sekondi-Takoradi, Ghana"
Joel Bolomboy,"Donetsk, Ukraine"
Petr Cornelie,"Calais, France"
Kay Felder,"Detroit, Michigan"
Marcus Paige,"Cedar Rapids, Iowa"
Daniel Hamilton,"Los Angeles, California"
Wang Zhelin,"Fuzhou, Fujian, China"
Abdel Nader,"Alexandria, Egypt"
Isaiah Cousins,"Mount Vernon, New York"
Tyrone Wallace,"Bakersfield, California"
Markelle Fultz,"Upper Marlboro, Maryland"
Lonzo Ball,"Anaheim, California"
Jayson Tatum,"St. Louis, Missouri"
Josh Jackson,"San Diego, California"
De'Aaron Fox,"New Orleans, Louisiana"
Jonathan Isaac,"The Bronx, New York"
Lauri Markkanen,"Vantaa, Finland"
Frank Ntilikina,"Ixelles, Belgium"
Dennis Smith Jr.,"Fayetteville, North Carolina"
Zach Collins,"North Las Vegas, Nevada"
Malik Monk,"Jonesboro, Arkansas"
Luke Kennard,"Middletown, Ohio"
Donovan Mitchell,"Elmsford, New York"
Bam Adebayo,"Newark, New Jersey"
Justin Jackson,"Houston, Texas"
Justin Patton,"Riverdale, Georgia"
D. J. Wilson,"Mount Shasta, California"
T. J. Leaf,"Tel Aviv, Israel"
John Collins,"Layton, Utah"
Harry Giles,"Winston-Salem, North Carolina"
Terrance Ferguson,"Tulsa, Oklahoma"
Jarrett Allen,"San Diego, California"
OG Anunoby,"London, England"
Tyler Lydon,"Hudson, New York"
Anžejs Pasečņiks,"Riga, Latvia"
Caleb Swanigan,"Indianapolis, Indiana"
Kyle Kuzma,"Flint, Michigan"
Tony Bradley,"Bartow, Florida"
Derrick White,"Parker, Colorado"
Josh Hart,"Silver Spring, Maryland"
Frank Jackson,"Washington, D.C."
Davon Reed,"Ewing Township, New Jersey"
Wes Iwundu,"Houston, Texas"
Frank Mason III,"Petersburg, Virginia"
Ivan Rabb,"Sacramento, California"
Jonah Bolden,"Melbourne, Victoria"
Semi Ojeleye,"Overland Park, Kansas"
Jordan Bell,"Los Angeles, California"
Jawun Evans,"Greenville, South Carolina"
Dwayne Bacon,"Lakeland, Florida"
Tyler Dorsey,"Pasadena, California"
Thomas Bryant,"Rochester, New York"
Isaiah Hartenstein,"Eugene, Oregon"
Damyean Dotson,"Houston, Texas"
Dillon Brooks,"Mississauga, Ontario"
Sterling Brown,"Maywood, Illinois"
Ike Anigbogu,"San Diego, California"
Sindarius Thornwell,"Lancaster, South Carolina"
Vlatko Čančar,"Koper, Slovenia"
Mathias Lessort,"Fort-de-France, Martinique"
Monté Morris,"Grand Rapids, Michigan"
Edmond Sumner,"Detroit, Michigan"
Kadeem Allen,"Wilmington, North Carolina"
Alec Peters,"Washington, Illinois"
Nigel Williams-Goss,"Happy Valley, Oregon"
Jabari Bird,"Walnut Creek, California"
Sasha Vezenkov,"Nicosia, Cyprus"
Ognjen Jaramaz,"Kruševac, Serbia, FR Yugoslavia"
Jaron Blossomgame,"Atlanta, Georgia"
Alpha Kaba,"Blois, France"
